Covid_level
Local COVID alert level: medium
Local COVID alert level: high
York
Cheshire
Greater Manchester
Derbyshire
West Yorkshire
South Yorkshire
Cumbria
Durham
Northumberland
Tyne and Wear
Tees Valley
West Midlands
Leicestershire
Nottinghamshire
Essex
London
Surrey
Local COVID alert level: very high
Lancashire
Liverpool City Region
